SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00006678714	6615	spectra_filtered.mgf	GNPS_Drug_Library_Spectra_Drugs_and_Metabolites.mgf	0.999994	240000.0	0	4.26418	2	0.00050354	118.087	1	temp/spectra_filtered.mgf6615	1	BETAINE	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA038708	M+H	118.086	0.0	1			C[N+](C)(C)CC(=O)[O-]	"""InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3"""		3	positive	MONA	118.086	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze			KWIUHFFTVRNATP-UHFFFAOYSA-N	KWIUHFFTVRNATP	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues				mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006678714
CCMSLIB00006678714	1066	spectra_filtered.mgf	GNPS_Drug_Library_Spectra_Drugs_and_Metabolites.mgf	0.999994	240000.0	0	4.26418	2	0.00050354	118.087	1	temp/spectra_filtered.mgf1066	1	BETAINE	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA038708	M+H	118.086	0.0	1			C[N+](C)(C)CC(=O)[O-]	"""InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3"""		3	positive	MONA	118.086	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze			KWIUHFFTVRNATP-UHFFFAOYSA-N	KWIUHFFTVRNATP	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues				mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006678714
CCMSLIB00006682852	5326	spectra_filtered.mgf	GNPS_Drug_Library_Spectra_Drugs_and_Metabolites.mgf	0.999929	131000.0	0	4.26418	2	0.00050354	118.087	1	temp/spectra_filtered.mgf5326	1	BETAINE	ESI	qTof	isolated	MoNA	MoNA:MoNA036528	M+H	118.086	0.0	1			C[N+](C)(C)CC(=O)[O-]	"""InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3"""		3	positive	MONA	118.086	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze			KWIUHFFTVRNATP-UHFFFAOYSA-N	KWIUHFFTVRNATP	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues				mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006682852
CCMSLIB00006678714	6111	spectra_filtered.mgf	GNPS_Drug_Library_Spectra_Drugs_and_Metabolites.mgf	0.999748	176000.0	0	4.26418	2	0.00050354	118.087	1	temp/spectra_filtered.mgf6111	1	BETAINE	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA038708	M+H	118.086	0.0	1			C[N+](C)(C)CC(=O)[O-]	"""InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3"""		3	positive	MONA	118.086	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze			KWIUHFFTVRNATP-UHFFFAOYSA-N	KWIUHFFTVRNATP	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues				mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006678714
CCMSLIB00006678714	6110	spectra_filtered.mgf	GNPS_Drug_Library_Spectra_Drugs_and_Metabolites.mgf	0.999725	230000.0	0	4.26418	2	0.00050354	118.087	1	temp/spectra_filtered.mgf6110	1	BETAINE	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA038708	M+H	118.086	0.0	1			C[N+](C)(C)CC(=O)[O-]	"""InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3"""		3	positive	MONA	118.086	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze			KWIUHFFTVRNATP-UHFFFAOYSA-N	KWIUHFFTVRNATP	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues				mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006678714
CCMSLIB00006576864	3238	spectra_filtered.mgf	GNPS_Drug_Library_Spectra_Drugs_and_Metabolites.mgf	0.999717	226000.0	0	11.7321	3	0.00228882	195.088	1	temp/spectra_filtered.mgf3238	1	1,3,7-trimethyl-3,7-dihydro-1H-purine-2,6-dione	ESI	Orbitrap	Commercial standard	BMDMS-NP	BMDMS-NP	[M+H]+	195.09	194.08	1			O=C1C2=C(N=CN2C)N(C(=O)N1C)C	InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3		1	Positive	BMDMS-NP	195.09	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C8H10N4O2	RYYVLZVUVIJVGH-UHFFFAOYSA-N	RYYVLZVUVIJVGH	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Pseudoalkaloids	Purine alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006576864
CCMSLIB00003136069	7433	spectra_filtered.mgf	GNPS_Drug_Library_Spectra_Drugs_and_Metabolites.mgf	0.999641	2836000.0	0	0.437859	9	9.15527e-05	209.092	1	temp/spectra_filtered.mgf7433	1	Spectral Match to L-Kynurenine from NIST14	ESI	QQQ	Isolated	Data from Gabriel Haddad	Data deposited by mjmeehan	M+H	209.092	208.085	1	2922830		C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N	InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)/t8-/m0/s1		3	Positive	GNPS-NIST14-MATCHES	209.092	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C10H12N2O3	YGPSJZOEDVAXAB-QMMMGPOBSA-N	YGPSJZOEDVAXAB	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003136069
CCMSLIB00006678714	5646	spectra_filtered.mgf	GNPS_Drug_Library_Spectra_Drugs_and_Metabolites.mgf	0.999578	124000.0	0	4.26418	2	0.00050354	118.087	1	temp/spectra_filtered.mgf5646	1	BETAINE	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA038708	M+H	118.086	0.0	1			C[N+](C)(C)CC(=O)[O-]	"""InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3"""		3	positive	MONA	118.086	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze			KWIUHFFTVRNATP-UHFFFAOYSA-N	KWIUHFFTVRNATP	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues				mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006678714
CCMSLIB00005884163	1759	spectra_filtered.mgf	GNPS_Drug_Library_Spectra_Drugs_and_Metabolites.mgf	0.9987	3852000.0	0	1.85753	6	0.000289917	156.077	1	temp/spectra_filtered.mgf1759	1	L-HISTIDINE - 40.0 eV	ESI	Orbitrap	Isolated	Madeleine Ernst	Anna Abrahamsson	M+H	156.077	0.0	1	5934-29-2		N[C@@H](CC1=CNC=N1)C(O)=O	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1		1	Positive	GNPS-LIBRARY	156.077	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C6H9N3O2	HNDVDQJCIGZPNO-YFKPBYRVSA-N	HNDVDQJCIGZPNO	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005884163
CCMSLIB00010126500	6738	spectra_filtered.mgf	GNPS_Drug_Library_Spectra_Drugs_and_Metabolites.mgf	0.998581	3037000.0	0	2.03372	7	0.000305176	150.058	1	temp/spectra_filtered.mgf6738	1	L-methionine CollisionEnergy:102040	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+H	150.058	0.0	1			CSCC[C@H](N)C(=O)O	"""InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1"""		3	Positive	BERKELEY-LAB	150.058	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C5H11NO2S	FFEARJCKVFRZRR-BYPYZUCNSA-N	FFEARJCKVFRZRR	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010126500
